# Data on the measured reflection coefficient for the case that the loudspeaker is attached to the measurement section (Small Pipe) 
# DataFile 2014-09_RigidPlate\LongRange1Pa_NoProtGrid\ 
# f, abs(R), deg(R), Sr, Stheta
f 	 mag 	 phase 	 Sr 	 Stheta 
7.200000e+02 	 9.943284e-01 	 -2.680850e-01 	 4.696224e-04 	 1.536368e-01
7.300000e+02 	 9.943836e-01 	 -5.470397e-01 	 5.478519e-04 	 1.529661e-01
7.400000e+02 	 9.944863e-01 	 -2.682672e-01 	 6.310696e-04 	 1.526859e-01
7.500000e+02 	 9.946130e-01 	 -2.796035e-01 	 4.904202e-04 	 1.555077e-01
7.600000e+02 	 9.948351e-01 	 -1.617037e-01 	 2.203067e-04 	 1.588791e-01
7.700000e+02 	 9.951002e-01 	 -3.075779e-01 	 1.054956e-04 	 1.606901e-01
7.800000e+02 	 9.953023e-01 	 -3.700666e-01 	 4.495702e-04 	 1.601629e-01
7.900000e+02 	 9.954488e-01 	 -2.147308e-01 	 1.001966e-03 	 1.531509e-01
8.000000e+02 	 9.955680e-01 	 -3.906262e-01 	 9.646031e-04 	 1.553653e-01
8.100000e+02 	 9.958253e-01 	 -5.339155e-02 	 9.978372e-04 	 1.560878e-01
8.200000e+02 	 9.961780e-01 	 -4.186153e-02 	 1.120340e-03 	 1.547349e-01
8.300000e+02 	 9.962496e-01 	 -2.108966e-01 	 1.164188e-03 	 1.550964e-01
8.400000e+02 	 9.965372e-01 	 1.004151e-02 	 9.778827e-04 	 1.608017e-01
8.500000e+02 	 9.961309e-01 	 -2.092811e-01 	 6.180789e-04 	 1.681256e-01
8.600000e+02 	 9.962201e-01 	 -7.584872e-02 	 4.675156e-04 	 1.713887e-01
8.700000e+02 	 9.961526e-01 	 7.418054e-03 	 5.455076e-04 	 1.724388e-01
8.800000e+02 	 9.958882e-01 	 -1.544509e-01 	 7.789526e-04 	 1.714583e-01
8.900000e+02 	 9.957256e-01 	 1.295202e-02 	 1.151950e-03 	 1.666336e-01
9.000000e+02 	 9.953121e-01 	 -1.984409e-01 	 3.348081e-04 	 1.806100e-01
9.100000e+02 	 9.949258e-01 	 -2.130851e-02 	 5.748831e-04 	 1.811009e-01
9.200000e+02 	 9.942049e-01 	 -5.277752e-02 	 6.541077e-04 	 1.829107e-01
9.300000e+02 	 9.941916e-01 	 -5.474491e-02 	 6.832356e-04 	 1.854388e-01
9.400000e+02 	 9.938936e-01 	 -1.104855e-01 	 6.971521e-04 	 1.882918e-01
9.500000e+02 	 9.936635e-01 	 -1.370875e-01 	 7.044547e-04 	 1.913234e-01
9.600000e+02 	 9.934703e-01 	 -4.479025e-01 	 7.096474e-04 	 1.944575e-01
9.700000e+02 	 9.933833e-01 	 -1.787994e-01 	 7.296169e-04 	 1.973213e-01
9.800000e+02 	 9.928942e-01 	 -3.391005e-01 	 7.475659e-04 	 2.001611e-01
9.900000e+02 	 9.927438e-01 	 -4.181439e-01 	 7.735161e-04 	 2.027361e-01
1.000000e+03 	 9.926560e-01 	 -2.373742e-01 	 8.029354e-04 	 2.050426e-01
1.010000e+03 	 9.925218e-01 	 -2.426598e-01 	 8.283976e-04 	 2.071915e-01
1.020000e+03 	 9.925381e-01 	 -5.823646e-01 	 8.578259e-04 	 2.090837e-01
1.030000e+03 	 9.924503e-01 	 -2.236413e-01 	 7.326553e-04 	 2.127274e-01
1.040000e+03 	 9.924189e-01 	 -5.093552e-01 	 5.420530e-04 	 2.165611e-01
1.050000e+03 	 9.925418e-01 	 -4.105956e-01 	 6.787031e-04 	 2.171599e-01
1.060000e+03 	 9.926817e-01 	 -4.312418e-01 	 7.267914e-04 	 2.185498e-01
1.070000e+03 	 9.925970e-01 	 -2.467216e-01 	 7.945169e-04 	 2.197562e-01
1.080000e+03 	 9.929521e-01 	 -5.309613e-01 	 8.797412e-04 	 2.207915e-01
