# Data on the measured reflection coefficient for the case that the loudspeaker is attached to the measurement section (Small Pipe) 
# DataFile 2014-09_RigidPlate\LongRange1Pa_NoProtGrid\ 
# f, abs(R), deg(R), Sr, Stheta
f 	 mag 	 phase 	 Sr 	 Stheta 
2.860000e+03 	 9.710649e-01 	 -4.582166e-01 	 1.520881e-03 	 6.137340e-01
2.870000e+03 	 9.714064e-01 	 -9.253641e-01 	 1.378532e-03 	 6.152072e-01
2.880000e+03 	 9.718053e-01 	 -1.368298e-02 	 1.298765e-03 	 6.163653e-01
2.890000e+03 	 9.731507e-01 	 7.296568e-02 	 1.081267e-03 	 6.180958e-01
2.900000e+03 	 9.746108e-01 	 -3.748413e-02 	 7.774634e-04 	 6.194719e-01
2.910000e+03 	 9.754805e-01 	 -5.081237e-01 	 3.652310e-04 	 6.196220e-01
2.920000e+03 	 9.770052e-01 	 -4.278964e-01 	 4.478525e-04 	 6.174756e-01
2.930000e+03 	 9.793747e-01 	 -4.938395e-01 	 8.395949e-04 	 6.126876e-01
2.940000e+03 	 9.821043e-01 	 -1.071829e+00 	 8.301989e-04 	 6.076005e-01
2.950000e+03 	 9.847634e-01 	 -1.214829e-02 	 7.424681e-04 	 6.028464e-01
2.960000e+03 	 9.877462e-01 	 -4.824533e-01 	 5.433308e-04 	 5.963886e-01
2.970000e+03 	 9.900993e-01 	 1.447704e-01 	 2.829407e-04 	 5.903488e-01
2.980000e+03 	 9.924246e-01 	 -5.914955e-01 	 4.503362e-04 	 5.825191e-01
2.990000e+03 	 9.934529e-01 	 2.327381e-01 	 6.634999e-04 	 5.764318e-01
3.000000e+03 	 9.948805e-01 	 4.313487e-01 	 8.593951e-04 	 5.711484e-01
3.010000e+03 	 9.961350e-01 	 3.571852e-02 	 8.974548e-04 	 5.682449e-01
3.020000e+03 	 9.963827e-01 	 5.782530e-01 	 7.161252e-04 	 5.688406e-01
3.030000e+03 	 9.965250e-01 	 -2.951048e-02 	 4.275176e-04 	 5.716082e-01
3.040000e+03 	 9.957262e-01 	 6.131488e-01 	 2.612048e-04 	 5.755928e-01
3.050000e+03 	 9.948050e-01 	 -1.058846e-01 	 2.523656e-04 	 5.811473e-01
3.060000e+03 	 9.930681e-01 	 6.726017e-01 	 3.827117e-04 	 5.870080e-01
3.070000e+03 	 9.920250e-01 	 6.575445e-01 	 6.553352e-04 	 5.933035e-01
3.080000e+03 	 9.898853e-01 	 8.347032e-01 	 8.331982e-04 	 5.999004e-01
3.090000e+03 	 9.873336e-01 	 5.016191e-01 	 5.768514e-04 	 6.086733e-01
3.100000e+03 	 9.844697e-01 	 1.992210e-01 	 4.241156e-04 	 6.169221e-01
3.110000e+03 	 9.817655e-01 	 2.707026e-01 	 1.031025e-03 	 6.222310e-01
3.120000e+03 	 9.800401e-01 	 7.244585e-01 	 1.252587e-03 	 6.285573e-01
3.130000e+03 	 9.776816e-01 	 6.596780e-01 	 1.331740e-03 	 6.363200e-01
3.140000e+03 	 9.763118e-01 	 -4.546345e-01 	 1.224741e-03 	 6.463698e-01
3.150000e+03 	 9.738627e-01 	 -3.169332e-01 	 1.070727e-03 	 6.560537e-01
3.160000e+03 	 9.727232e-01 	 -8.052245e-01 	 7.606587e-04 	 6.666642e-01
3.170000e+03 	 9.717468e-01 	 1.626953e-01 	 4.686180e-04 	 6.754929e-01
3.180000e+03 	 9.711223e-01 	 -2.936270e-01 	 7.179434e-04 	 6.826814e-01
3.190000e+03 	 9.713998e-01 	 -9.117669e-01 	 1.202838e-03 	 6.869875e-01
3.200000e+03 	 9.715943e-01 	 1.197854e-01 	 1.144065e-03 	 6.918574e-01
3.210000e+03 	 9.708648e-01 	 -6.006401e-01 	 9.696359e-04 	 6.956348e-01
3.220000e+03 	 9.721004e-01 	 -1.072810e+00 	 7.930441e-04 	 6.968080e-01
3.230000e+03 	 9.742817e-01 	 -7.464545e-01 	 6.175819e-04 	 6.957170e-01
3.240000e+03 	 9.763372e-01 	 -4.779788e-01 	 2.765663e-04 	 6.927821e-01
3.250000e+03 	 9.792155e-01 	 -2.715711e-01 	 7.547267e-04 	 6.861514e-01
3.260000e+03 	 9.819136e-01 	 -7.393545e-01 	 1.066262e-03 	 6.775444e-01
3.270000e+03 	 9.847767e-01 	 -3.735219e-01 	 1.095178e-03 	 6.701654e-01
3.280000e+03 	 9.874511e-01 	 -1.352318e+00 	 1.124256e-03 	 6.615030e-01
3.290000e+03 	 9.882776e-01 	 -1.137536e-01 	 1.154311e-03 	 6.552029e-01
3.300000e+03 	 9.901825e-01 	 -2.934303e-01 	 1.179283e-03 	 6.486074e-01
3.310000e+03 	 9.916231e-01 	 1.986153e-01 	 1.146159e-03 	 6.440443e-01
3.320000e+03 	 9.922067e-01 	 -1.922647e-02 	 4.156800e-04 	 6.431391e-01
3.330000e+03 	 9.938971e-01 	 -8.911780e-01 	 2.828101e-04 	 6.407321e-01
3.340000e+03 	 9.949162e-01 	 3.839676e-01 	 2.951116e-04 	 6.402052e-01
3.350000e+03 	 9.956847e-01 	 4.600721e-01 	 2.852752e-04 	 6.404469e-01
3.360000e+03 	 9.957543e-01 	 3.352814e-01 	 2.890850e-04 	 6.417522e-01
3.370000e+03 	 9.957428e-01 	 6.334855e-01 	 2.883013e-04 	 6.440911e-01
3.380000e+03 	 9.943728e-01 	 7.718939e-01 	 3.242913e-04 	 6.473439e-01
3.390000e+03 	 9.927169e-01 	 9.813874e-01 	 4.620757e-04 	 6.513445e-01
3.400000e+03 	 9.904146e-01 	 5.062095e-01 	 7.212349e-04 	 6.560846e-01
3.410000e+03 	 9.883004e-01 	 8.400588e-01 	 4.436497e-04 	 6.632310e-01
3.420000e+03 	 9.863995e-01 	 5.674275e-01 	 3.418130e-04 	 6.710209e-01
3.430000e+03 	 9.839426e-01 	 -2.834847e-01 	 3.130873e-04 	 6.798966e-01
3.440000e+03 	 9.828124e-01 	 4.372850e-02 	 3.387046e-04 	 6.885932e-01
3.450000e+03 	 9.809008e-01 	 4.953893e-01 	 4.225223e-04 	 6.973114e-01
3.460000e+03 	 9.790005e-01 	 8.870044e-02 	 6.525310e-04 	 7.059651e-01
3.470000e+03 	 9.777050e-01 	 -2.760306e-01 	 1.048380e-03 	 7.129592e-01
3.480000e+03 	 9.766180e-01 	 3.742073e-01 	 3.423224e-04 	 7.223575e-01
3.490000e+03 	 9.751761e-01 	 1.964742e-01 	 7.097089e-04 	 7.277508e-01
3.500000e+03 	 9.740340e-01 	 -2.668161e-01 	 1.080252e-03 	 7.311997e-01
3.510000e+03 	 9.735081e-01 	 6.009209e-02 	 1.343064e-03 	 7.330556e-01
3.520000e+03 	 9.745733e-01 	 -2.391015e-01 	 1.415658e-03 	 7.349462e-01
3.530000e+03 	 9.760372e-01 	 -1.727419e+00 	 1.203885e-03 	 7.377262e-01
3.540000e+03 	 9.769741e-01 	 -9.879579e-01 	 5.853559e-04 	 7.408992e-01
3.550000e+03 	 9.782614e-01 	 -5.337019e-01 	 1.472063e-03 	 7.370122e-01
3.560000e+03 	 9.799734e-01 	 -1.627356e+00 	 1.374336e-03 	 7.379189e-01
3.570000e+03 	 9.819241e-01 	 -4.825266e-01 	 1.224210e-03 	 7.391498e-01
3.580000e+03 	 9.830283e-01 	 -9.919084e-01 	 1.033300e-03 	 7.403861e-01
3.590000e+03 	 9.820596e-01 	 -2.135459e-01 	 8.509177e-04 	 7.414863e-01
3.600000e+03 	 9.836967e-01 	 -3.913755e-01 	 6.553467e-04 	 7.419989e-01
3.610000e+03 	 9.849552e-01 	 6.654603e-02 	 4.016861e-04 	 7.421009e-01
3.620000e+03 	 9.863086e-01 	 1.970098e-01 	 6.960339e-04 	 7.400729e-01
3.630000e+03 	 9.883009e-01 	 3.469503e-01 	 8.950803e-04 	 7.373137e-01
3.640000e+03 	 9.898070e-01 	 1.344297e-01 	 7.514442e-04 	 7.349330e-01
3.650000e+03 	 9.907015e-01 	 5.663951e-01 	 6.967325e-04 	 7.321522e-01
3.660000e+03 	 9.914944e-01 	 2.976813e-01 	 6.526282e-04 	 7.288451e-01
3.670000e+03 	 9.917986e-01 	 8.371043e-01 	 5.714538e-04 	 7.265118e-01
3.680000e+03 	 9.913630e-01 	 1.059606e+00 	 4.241405e-04 	 7.249724e-01
3.690000e+03 	 9.908069e-01 	 1.059911e+00 	 7.798583e-04 	 7.232407e-01
3.700000e+03 	 9.898140e-01 	 -1.165484e-01 	 8.626470e-04 	 7.235108e-01
3.710000e+03 	 9.894244e-01 	 9.870748e-01 	 7.073640e-04 	 7.264537e-01
3.720000e+03 	 9.889986e-01 	 6.787867e-02 	 6.044692e-04 	 7.303298e-01
3.730000e+03 	 9.879815e-01 	 8.782112e-01 	 4.736928e-04 	 7.348040e-01
3.740000e+03 	 9.876081e-01 	 8.234360e-01 	 4.003383e-04 	 7.393892e-01
3.750000e+03 	 9.860493e-01 	 6.684892e-01 	 3.603740e-04 	 7.435035e-01
3.760000e+03 	 9.848283e-01 	 7.100891e-01 	 3.212727e-04 	 7.466287e-01
3.770000e+03 	 9.851129e-01 	 -2.681317e-01 	 4.510247e-04 	 7.482332e-01
3.780000e+03 	 9.817904e-01 	 2.848436e-01 	 9.265225e-04 	 7.471542e-01
3.790000e+03 	 9.820154e-01 	 5.358373e-02 	 1.042787e-03 	 7.458257e-01
3.800000e+03 	 9.821394e-01 	 -1.277220e+00 	 8.966732e-04 	 7.447771e-01
3.810000e+03 	 9.839149e-01 	 -8.887413e-01 	 5.465079e-04 	 7.443138e-01
3.820000e+03 	 9.834473e-01 	 -1.079541e+00 	 6.165794e-04 	 7.430894e-01
3.830000e+03 	 9.844189e-01 	 -2.978300e-01 	 6.480112e-04 	 7.431087e-01
3.840000e+03 	 9.870949e-01 	 -3.738729e-01 	 1.628694e-03 	 7.399304e-01
3.850000e+03 	 9.885745e-01 	 -1.626185e+00 	 8.948015e-04 	 7.485830e-01
3.860000e+03 	 9.877420e-01 	 -4.924676e-01 	 7.954611e-04 	 7.542629e-01
3.870000e+03 	 9.901460e-01 	 -6.166417e-01 	 5.349189e-04 	 7.625252e-01
3.880000e+03 	 9.898466e-01 	 -1.361225e-01 	 4.530567e-04 	 7.708490e-01
3.890000e+03 	 9.910374e-01 	 -1.454986e+00 	 2.911005e-04 	 7.809389e-01
3.900000e+03 	 9.913705e-01 	 -2.771640e-02 	 2.738714e-04 	 7.885210e-01
3.910000e+03 	 9.910345e-01 	 2.168981e-01 	 3.322448e-04 	 7.960727e-01
3.920000e+03 	 9.903949e-01 	 4.181534e-01 	 8.485693e-04 	 8.012240e-01
3.930000e+03 	 9.900022e-01 	 -1.402708e-02 	 6.192256e-04 	 8.070595e-01
3.940000e+03 	 9.887647e-01 	 1.035149e+00 	 4.839455e-04 	 8.107267e-01
3.950000e+03 	 9.876693e-01 	 1.142914e+00 	 4.586352e-04 	 8.130291e-01
3.960000e+03 	 9.858985e-01 	 1.349998e+00 	 4.750370e-04 	 8.142397e-01
3.970000e+03 	 9.840528e-01 	 1.170076e+00 	 4.873269e-04 	 8.146723e-01
3.980000e+03 	 9.809388e-01 	 1.670593e+00 	 4.610626e-04 	 8.149893e-01
3.990000e+03 	 9.776693e-01 	 1.066434e+00 	 7.269798e-04 	 8.141769e-01
4.000000e+03 	 9.748809e-01 	 1.970010e+00 	 1.004684e-03 	 8.134590e-01
